# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         37.4398     2.78173e-09     2.78173e-09     2.78173e-09
         39.8107     2.35716e-09     2.35716e-09     2.35716e-09
         42.3318     1.99698e-09     1.99698e-09     1.99698e-09
         45.0125      1.6915e-09      1.6915e-09      1.6915e-09
          47.863     1.43246e-09     1.43246e-09     1.43246e-09
          50.894     1.21286e-09     1.21286e-09     1.21286e-09
          54.117     1.02672e-09     1.02672e-09     1.02672e-09
          57.544     8.68995e-10     8.68995e-10     8.68995e-10
         61.1881     7.35361e-10     7.35361e-10     7.35361e-10
         65.0629     6.22165e-10     6.22165e-10     6.22165e-10
         69.1831     5.26301e-10     5.26301e-10     5.26301e-10
         73.5642      4.4513e-10      4.4513e-10      4.4513e-10
         78.2228     3.76414e-10     3.76414e-10     3.76414e-10
         83.1764     3.18253e-10     3.18253e-10     3.18253e-10
         88.4437     2.69034e-10     2.69034e-10     2.69034e-10
         94.0445      2.2739e-10      2.2739e-10      2.2739e-10
             100     1.92162e-10     1.92162e-10     1.92162e-10
         106.333     1.62366e-10     1.62366e-10     1.62366e-10
         113.066     1.37169e-10     1.37169e-10     1.37169e-10
         120.226     1.15865e-10     1.15865e-10     1.15865e-10
          127.84     9.78554e-11     9.78554e-11     9.78554e-11
         135.936      8.2633e-11      8.2633e-11      8.2633e-11
         144.544     6.97685e-11     6.97685e-11     6.97685e-11
         153.697     5.88985e-11     5.88985e-11     5.88985e-11
         163.431     4.97152e-11     4.97152e-11     4.97152e-11
          173.78      4.1958e-11      4.1958e-11      4.1958e-11
         184.785     3.54065e-11     3.54065e-11     3.54065e-11
         196.487     2.98739e-11     2.98739e-11     2.98739e-11
          208.93     2.52027e-11     2.52027e-11     2.52027e-11
          222.16     2.12591e-11     2.12591e-11     2.12591e-11
         236.229     1.79303e-11     1.79303e-11     1.79303e-11
         251.189     1.51209e-11     1.51209e-11     1.51209e-11
         267.096     1.27501e-11     1.27501e-11     1.27501e-11
          284.01     1.07498e-11     1.07498e-11     1.07498e-11
         301.995      9.0622e-12      9.0622e-12      9.0622e-12
         321.119     7.63865e-12     7.63865e-12     7.63865e-12
         341.455     6.43798e-12     6.43798e-12     6.43798e-12
         363.078     5.42543e-12     5.42543e-12     5.42543e-12
         386.071     4.57162e-12     4.57162e-12     4.57162e-12
         410.519     3.85175e-12     3.85175e-12     3.85175e-12
         436.516     3.24489e-12     3.24489e-12     3.24489e-12
         464.159     2.73335e-12     2.73335e-12     2.73335e-12
         493.552     2.30221e-12     2.30221e-12     2.30221e-12
         524.807     1.93887e-12     1.93887e-12     1.93887e-12
         558.042     1.63271e-12     1.63271e-12     1.63271e-12
         593.381     1.37476e-12     1.37476e-12     1.37476e-12
         630.957     1.15744e-12     1.15744e-12     1.15744e-12
         670.914     9.74386e-13     9.74386e-13     9.74386e-13
           713.4     8.20202e-13     8.20202e-13     8.20202e-13
         758.578     6.90349e-13     6.90349e-13     6.90349e-13
         806.616        5.81e-13        5.81e-13        5.81e-13
         857.696     4.88927e-13     4.88927e-13     4.88927e-13
         912.011     4.11407e-13     4.11407e-13     4.11407e-13
         969.765     3.46146e-13     3.46146e-13     3.46146e-13
         1031.18     2.91212e-13     2.91212e-13     2.91212e-13
         1096.48     2.44975e-13     2.44975e-13     2.44975e-13
         1165.91     2.06061e-13     2.06061e-13     2.06061e-13
         1239.75     1.73314e-13     1.73314e-13     1.73314e-13
         1318.26     1.45759e-13     1.45759e-13     1.45759e-13
         1401.74     1.22574e-13     1.22574e-13     1.22574e-13
          1490.5     1.03069e-13     1.03069e-13     1.03069e-13
         1584.89     8.66606e-14     8.66606e-14     8.66606e-14
         1685.26     7.28585e-14     7.28585e-14     7.28585e-14
         1791.98     6.12499e-14     6.12499e-14     6.12499e-14
         1905.46     5.14868e-14     5.14868e-14     5.14868e-14
         2026.13     4.32766e-14     4.32766e-14     4.32766e-14
         2154.43     3.63728e-14     3.63728e-14     3.63728e-14
         2290.87     3.05681e-14     3.05681e-14     3.05681e-14
         2435.94     2.56879e-14     2.56879e-14     2.56879e-14
          2590.2     2.15852e-14     2.15852e-14     2.15852e-14
         2754.23     1.81364e-14     1.81364e-14     1.81364e-14
         2928.64     1.52376e-14     1.52376e-14     1.52376e-14
         3114.11     1.28012e-14     1.28012e-14     1.28012e-14
         3311.31     1.07536e-14     1.07536e-14     1.07536e-14
         3521.01      9.0329e-15      9.0329e-15      9.0329e-15
         3743.98     7.58701e-15     7.58701e-15     7.58701e-15
         3981.07     6.37214e-15     6.37214e-15     6.37214e-15
         4233.18     5.35144e-15     5.35144e-15     5.35144e-15
         4501.25     4.49395e-15     4.49395e-15     4.49395e-15
          4786.3      3.7736e-15      3.7736e-15      3.7736e-15
          5089.4     3.16852e-15     3.16852e-15     3.16852e-15
          5411.7     2.66029e-15     2.66029e-15     2.66029e-15
          5754.4     2.23344e-15     2.23344e-15     2.23344e-15
         6118.81     1.87497e-15     1.87497e-15     1.87497e-15
         6506.29     1.57393e-15     1.57393e-15     1.57393e-15
         6918.31     1.32114e-15     1.32114e-15     1.32114e-15
         7356.42     1.10889e-15     1.10889e-15     1.10889e-15
         7822.28     9.30683e-16     9.30683e-16     9.30683e-16
         8317.64     7.81069e-16     7.81069e-16     7.81069e-16
         8844.37     6.55467e-16     6.55467e-16     6.55467e-16
         9404.45     5.50032e-16     5.50032e-16     5.50032e-16
